GCCSA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
3RQLD,106,100,102,85,56,305,11171,846,205,220,70,72,94,97,96,85,175,1969,91,9,4,3,0,0,0,0,0,17,129,9141,1357,1171,207,179,197,201,178,143,497,13271,77,9,6,0,0,0,3,3,0,63,165,47850,5111,4071,674,617,505,448,411,255,1818,61759,41098,1890,1483,186,202,186,159,135,79,1245,46657,7559,315,256,30,47,41,34,45,15,224,8567,907,110,145,37,37,35,36,62,48,119,1536,109,0,0,0,0,0,0,0,0,13,133,8575,427,398,68,86,84,69,103,68,359,10233,119,3,3,0,0,0,0,0,4,53,190,49792,2322,1882,259,290,271,236,231,147,1651,57077,19664,916,568,58,74,65,48,61,33,864,22344,4852,118,82,8,4,12,16,16,9,210,5336,1084,80,56,14,14,9,11,12,13,78,1373,65,0,0,0,0,0,0,0,0,7,78,6003,198,142,28,22,24,32,28,25,293,6786,110,5,3,0,0,0
49499,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,6,6,62,0,14,0,0,0,0,0,0,15,92,43,3,0,0,0,0,0,0,0,0,45,4,0,0,0,0,0,0,0,0,0,7,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,48,3,3,0,0,0,0,0,0,3,61,7,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,64,70,42,49,42,276,12697,2739,440,563,176,197,182,194,206,186,330,5213,106,6,3,4,0,0,3,0,0,18,144,13742,1139,1054,255,260,246,237,259,229,626,18056,56,3,0,0,0,0,0,0,0,30,92,41771,2002,1671,345,346,312,284,297,259,1303,48592,26731,249,278,51,43,61,33,51,11,563,28080,11159,156,116,30,21,32,11,29,21,265,11836,2626,227,283,73,75,86,75,98,80,223,3850,134,3,3,0,0,0,0,0,0,15,158,13917,387,400,106,90,119,87,131,100,498,15848,85,0,0,0,0,0,0,0,0,47,129,40733,638,678,156,135,180,125,184,116,1110,44054,15385,180,91,20,13,13,10,11,6,491,16212,8511,43,39,10,7,0,4,5,7,247,8871,4226,117,121,35,24,18,25,13,23,227,4833,127,0,0,0,0,0,0,0,0,18,150,12864,157,168,46,25,26,29,21,23,488,13854,134,0,0,0,0,0
4RSAU,8,16,6,3,6,24,923,72,17,25,9,10,11,4,4,3,10,162,11,0,0,0,0,0,0,0,0,3,14,817,78,76,27,20,26,7,11,5,39,1105,19,0,0,0,0,0,0,0,0,37,54,7256,263,189,42,31,43,17,18,14,314,8184,7303,90,63,14,11,9,7,12,3,260,7768,938,13,15,4,3,0,3,0,3,32,1009,121,4,22,3,0,0,3,4,0,13,164,13,0,0,0,0,0,0,0,0,0,16,1067,17,35,10,3,0,5,4,7,42,1188,16,0,0,0,0,0,0,0,0,19,40,8388,104,98,24,13,9,16,13,8,326,8995,3928,35,23,0,4,0,0,3,0,177,4168,899,4,3,3,0,0,0,0,0,35,944,184,0,5,3,0,0,0,0,0,14,207,11,0,0,0,0,0,0,0,0,7,15,1098,4,6,4,0,0,0,0,0,47,1169,39,0,0,0,0,0
59499,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,13,13,163,13,12,4,9,3,3,5,4,33,251,132,0,3,0,0,0,0,0,0,4,147,13,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,9,145,3,6,0,0,0,0,0,0,18,176,16,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
59799,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,237,220,153,158,107,425,22687,3224,578,699,175,245,210,212,212,249,518,6320,137,11,12,0,3,3,3,3,0,24,193,20729,2640,2428,424,478,431,370,374,354,966,29199,72,3,3,0,3,0,3,0,0,139,220,73140,6399,5632,1005,1001,818,633,604,466,2254,91948,45918,1300,1197,222,207,160,151,147,73,948,50340,14036,431,372,75,78,77,79,63,55,329,15598,2896,272,374,91,104,92,89,100,111,261,4377,129,5,5,0,0,0,0,0,0,20,163,17061,707,749,164,179,165,169,161,171,614,20133,124,0,3,0,0,0,0,0,0,103,229,63100,2003,1946,386,391,327,321,307,244,1662,70699,23033,795,585,74,52,60,63,56,24,848,25586,7785,164,139,19,18,20,31,29,7,253,8466,3076,170,173,19,32,29,21,32,22,187,3766,109,0,0,0,0,0,0,0,0,28,137,10969,333,314,46,48,44,55,60,32,466,12361,164,3,0,0,0,0
5RWAU,43,27,23,25,11,66,1829,95,14,35,9,11,12,6,13,20,16,234,26,0,0,0,0,0,0,0,0,3,30,1282,181,289,56,53,40,32,38,34,86,2094,19,4,3,0,0,0,0,0,0,36,63,11697,850,995,199,209,106,85,79,61,507,14785,9629,239,213,42,38,30,16,19,14,329,10577,1144,45,48,13,10,3,9,12,3,29,1317,99,0,5,0,3,3,4,3,7,8,142,9,0,0,0,0,0,0,0,0,0,11,1250,47,56,8,13,9,19,16,16,37,1471,24,0,0,0,0,0,0,0,0,16,39,10908,289,272,51,47,44,34,32,32,386,12086,4300,108,66,8,17,11,5,4,3,171,4696,657,17,8,7,3,3,0,3,0,32,720,103,3,3,0,0,0,5,3,0,10,128,9,0,0,0,0,0,0,0,0,0,15,764,16,11,7,3,3,7,6,3,46,864,38,0,3,0,0,0
69499,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,3,25,13,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,10,4,3,3,3,21,842,71,22,39,18,14,24,12,5,13,10,237,8,3,0,0,0,0,0,0,0,0,16,763,86,92,23,21,33,12,9,14,39,1090,7,0,0,0,0,0,0,0,0,6,7,3832,210,176,40,22,41,16,16,20,98,4472,3439,61,20,3,0,4,6,0,0,106,3656,717,21,6,3,0,0,0,0,3,17,774,67,6,18,5,6,7,6,5,0,12,138,7,0,0,0,0,0,0,0,0,0,10,797,29,26,6,9,7,4,10,3,27,916,13,0,0,0,0,0,0,0,0,8,13,4248,95,51,9,7,16,13,10,8,136,4589,1968,20,14,3,3,0,3,7,0,73,2091,545,3,8,0,0,0,0,3,0,26,578,91,6,6,5,3,8,6,0,6,5,137,5,0,0,0,0,0,0,0,0,0,11,641,15,13,5,3,8,6,3,6,28,729,15,0,0,0,0,0
6RTAS,6,4,4,3,3,19,689,36,3,17,11,4,8,11,0,4,8,97,3,0,0,0,0,0,0,0,0,3,10,565,71,60,23,11,11,10,3,6,35,789,14,0,0,0,0,0,0,0,0,8,17,4862,218,176,33,28,21,21,18,7,180,5564,5632,63,57,9,3,5,3,4,4,161,5936,566,12,7,3,3,3,7,0,3,5,611,36,3,16,3,3,6,4,3,3,7,84,3,0,0,0,0,0,0,0,0,0,8,606,13,24,4,11,10,8,9,7,16,704,21,0,0,0,0,0,0,0,0,6,32,6263,75,76,15,11,17,13,13,6,180,6671,2791,27,15,5,0,3,3,0,3,114,2971,420,3,3,0,0,0,0,0,0,17,444,29,3,3,6,3,8,3,0,0,3,53,3,0,0,0,0,0,0,0,0,0,6,453,7,9,5,3,8,3,0,0,22,502,15,0,0,0,0,0
79499,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,48,6,5,0,0,0,0,0,0,3,61,45,3,0,0,0,0,0,0,0,3,53,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,3,65,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,16,14,21,28,7,53,1403,220,12,24,8,8,10,11,10,15,39,373,19,0,3,0,0,0,0,0,0,4,22,1326,93,127,19,23,24,28,36,24,94,1800,3,0,0,0,0,0,0,0,0,10,17,3246,180,219,41,36,40,56,46,30,182,4082,1407,27,23,0,11,3,0,6,3,54,1538,721,22,16,8,0,3,6,0,3,35,818,220,9,8,3,4,0,7,7,5,12,281,7,0,0,0,0,0,0,0,0,0,8,950,36,31,8,3,3,16,4,8,46,1108,3,0,0,0,0,0,0,0,0,3,8,2361,58,54,10,17,8,16,9,14,108,2655,480,3,3,0,0,0,0,0,0,26,520,309,11,3,0,3,0,0,0,3,16,346,168,0,5,0,3,0,0,0,0,7,193,4,0,0,0,0,0,0,0,0,0,11,484,7,9,0,8,3,3,0,7,24,545,0,0,0,0,0,0
7RNTE,5,3,9,3,7,18,316,12,0,3,0,0,3,4,7,3,8,38,0,3,5,0,0,0,0,0,0,0,6,213,34,40,9,6,10,8,5,13,24,360,0,0,0,0,0,0,0,0,0,4,7,989,96,105,21,24,27,25,25,20,71,1398,478,9,16,0,3,0,4,5,0,23,546,97,4,3,0,3,0,0,0,0,3,121,10,0,3,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,3,114,4,9,0,3,0,0,0,3,11,143,3,0,0,0,0,0,0,0,0,3,6,590,16,21,3,8,0,4,4,3,42,697,150,0,0,0,0,0,0,0,0,3,165,32,3,0,0,0,0,3,0,0,6,49,9,0,0,0,0,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,0,0,3,0,4,5,63,0,0,0,0,0,0
89499,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,32,33,33,34,27,76,5100,528,115,141,42,51,68,93,59,52,110,1264,33,3,0,0,0,0,0,0,3,3,42,4924,422,330,63,81,98,127,95,81,186,6406,10,0,0,0,0,0,0,0,0,14,21,10939,605,458,90,111,136,140,131,101,309,13012,5687,42,19,8,3,9,7,13,0,91,5881,3176,46,76,10,6,15,20,15,3,62,3434,515,46,100,32,24,35,43,24,34,56,915,33,0,0,0,0,0,0,0,0,0,36,3731,96,180,44,26,51,62,40,43,125,4381,11,0,0,0,0,0,0,0,0,12,20,9430,138,200,49,31,60,66,49,46,227,10284,2746,28,9,0,3,0,4,3,0,79,2867,1799,18,27,0,3,3,3,3,4,43,1906,653,22,43,5,9,7,15,3,3,28,796,18,0,0,0,0,0,0,0,0,3,25,2470,40,78,10,11,14,12,9,3,67,2726,5,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,3,0,0,8,75,57,0,0,0,0,0,0,0,0,8,68,0,0,0,0,0,0,0,0,0,0,0,114,4,3,0,0,0,3,0,0,16,142,0,0,0,0,0,0,0,0,0,13,13,178,20,7,0,3,0,8,7,3,34,257,74,0,8,0,0,0,0,4,0,3,85,40,4,0,0,0,0,0,0,0,4,49,52,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,95,4,0,0,0,0,0,0,0,9,105,0,0,0,0,0,0,0,0,0,0,0,164,5,8,0,0,0,0,0,0,9,194,28,0,0,0,0,0,3,0,0,3,32,9,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0