GCCSA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
19499,85,356,679,376,234,254,167,42,10,2199,26,52,92,68,57,48,25,3,3,380,34,105,225,227,269,237,190,22,8,1323,18,35,67,67,77,61,86,23,3,436,3,22,42,29,41,58,67,18,3,286,0,0,3,3,17,9,4,4,0,41,80,166,499,497,446,319,173,52,12,2245,241,744,1609,1269,1148,985,719,162,32,6910,80,379,647,296,220,206,108,21,4,1964,17,27,38,30,48,41,22,3,0,237,29,58,80,80,138,232,157,27,8,811,11,19,32,28,38,65,58,11,8,270,11,5,6,11,17,37,33,14,9,130,0,3,4,3,4,3,3,4,0,22,50,134,279,182,185,141,95,37,17,1120,200,613,1091,629,646,732,472,120,48,4549,164,734,1328,670,459,457,274,59,11,4161,46,83,133,98,109,91,52,8,3,614,65,157,305,306,412,475,350,49,17,2136,25,54,97,95,121,127,145,34,7,701
19799,0,0,8,3,8,10,15,10,0,52,0,0,3,5,0,0,4,0,0,12,0,3,3,3,14,3,11,4,0,42,0,0,0,4,0,0,4,0,0,8,0,0,0,0,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,14,3,0,26,3,9,11,18,25,22,48,16,3,152,3,4,17,10,8,22,11,7,3,76,0,0,0,0,3,3,0,0,0,12,0,0,0,4,10,8,19,5,0,50,0,0,0,3,4,5,3,3,3,22,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,14,6,0,40,4,4,24,14,31,46,60,24,7,217,3,3,21,7,16,29,27,18,4,125,0,0,0,4,6,4,3,0,0,25,0,3,4,3,20,18,35,9,0,87,0,0,0,4,3,4,7,3,3,34
1GSYD,40951,130159,282847,245500,177031,137642,80930,31488,10003,1136550,6268,8219,15752,14707,14016,9926,6323,3024,1017,79250,9502,16320,39474,45615,73125,58566,38524,19286,5923,306335,2060,2547,6255,7279,10795,12158,16631,9076,3520,70329,522,1209,3803,4754,7738,12643,17054,14116,6535,68361,155,797,2726,2497,3504,4124,3705,3411,1384,22298,7305,12284,30229,23680,20783,18202,16020,11793,6724,147021,66766,171538,381083,344035,306985,253270,179180,92194,35105,1830152,43862,137297,315117,268678,192087,132523,69392,27849,10951,1197767,4642,5914,12509,12705,13801,9748,6995,3712,1448,71473,5943,10545,27389,35616,72417,72047,53488,27406,11860,316705,1348,1775,4711,5978,9935,15437,19466,12492,7709,78859,325,731,2583,4335,8063,16080,20205,18685,11936,82947,101,506,2114,2611,4372,6067,5555,6086,3169,30588,6493,11057,27645,21032,18967,17915,17597,15307,13722,149725,62724,167834,392057,350958,319639,269824,192693,111536,60803,1928068,84816,267455,597968,514177,369122,270165,150326,59334,20956,2334316,10913,14130,28258,27413,27814,19675,13316,6734,2471,150728,15445,26862,66860,81233,145537,130614,92009,46694,17783,623040,3413,4326,10969,13256,20732,27595,36096,21570,11231,149183
1RNSW,15297,41763,73687,72523,52923,56725,41333,16737,4970,375958,5590,7377,11971,11784,11143,9526,6620,3174,878,68062,9088,16277,35822,41292,72209,67089,43907,19985,4608,310286,2343,2348,5655,6570,12162,16199,24006,11885,3758,84931,553,782,2140,2740,5285,11468,16535,13187,5963,58661,81,129,354,419,581,746,903,775,321,4317,5151,6607,13498,13104,15492,16614,16915,12615,6053,106043,38101,75284,143130,148438,169809,178359,150213,78370,26545,1008256,17112,47620,94353,94412,68533,57847,35520,15110,5390,435887,4207,5430,10303,10962,12461,9901,7157,3780,1200,65404,6129,11176,25826,32598,69151,73985,55313,26467,8744,309392,1491,2015,4658,5407,10664,17769,23452,14427,7014,86891,379,498,1303,1802,3709,9581,13265,13344,10128,54015,48,91,284,342,484,637,782,943,528,4140,4831,5132,10324,10781,13547,15719,17358,16152,11783,105635,34204,71963,147054,156293,178547,185435,152848,90224,44791,1061355,32404,89377,168042,166931,121458,114564,76854,31849,10356,811849,9794,12813,22277,22738,23600,19425,13778,6959,2083,133469,15216,27457,61650,73893,141363,141070,99218,46447,13352,619671,3836,4360,10315,11979,22833,33966,47450,26313,10771,171815
29499,38,209,486,253,154,114,75,19,4,1343,15,50,81,54,62,72,28,9,0,367,22,42,88,77,94,73,49,11,0,462,4,19,46,50,45,38,34,9,0,250,6,6,37,22,18,21,27,13,0,152,4,0,9,5,6,6,9,0,0,42,42,116,305,346,247,139,66,19,3,1277,138,443,1051,813,628,460,283,72,9,3895,63,284,491,213,111,119,57,4,3,1345,4,30,32,37,52,56,22,5,0,236,18,27,37,49,48,58,35,7,6,290,14,8,19,18,19,24,25,3,0,130,7,11,9,5,12,11,14,0,7,79,7,3,10,3,6,6,4,3,0,42,35,101,191,149,90,84,45,17,7,716,140,453,788,479,344,352,204,49,28,2840,100,488,982,466,259,234,129,29,6,2689,17,78,119,89,120,125,48,13,0,610,44,67,127,129,143,130,90,17,4,751,20,24,63,71,65,59,65,8,0,388
29799,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2GMEL,36831,129239,270315,222676,154101,115099,69093,26919,8974,1033244,6255,11214,22282,26400,47597,32436,16054,6203,1865,170323,6021,10877,25910,29322,42669,37196,26327,12663,3793,194786,2187,2908,7131,8029,12330,14200,14028,7905,2718,71435,953,1477,4465,5087,7057,10779,19535,19452,8582,77395,222,935,2586,2660,3138,3257,3208,3211,1250,20465,6661,10994,26147,20474,18586,16398,14690,11631,5981,131558,59131,167650,358845,314650,285473,229364,162936,87991,33165,1699202,40066,137136,304592,253341,179728,119949,60848,24594,9924,1130177,4159,7271,15087,19452,46455,36289,20518,8720,3139,161079,3795,6394,15901,18669,35359,39642,34161,16600,7308,177827,1428,1819,4156,5585,10360,15301,16027,9708,5027,69406,618,1000,3520,4844,7441,14165,27567,26976,16031,102165,137,589,2316,2792,3898,4785,4800,5997,2653,27968,6438,10250,25028,18964,17850,16831,16985,15242,11789,139387,56639,164461,370607,323638,301094,246952,180903,107832,55872,1808002,76892,266378,574908,476016,333832,235042,129934,51512,18899,2163419,10417,18485,37370,45852,94052,68722,36573,14925,5007,331399,9818,17277,41816,47986,78028,76835,60489,29261,11103,372611,3615,4729,11285,13613,22692,29505,30047,17610,7746,140839
2RVIC,7766,23240,41306,39717,27693,29167,20930,7985,2435,200245,3303,5991,10134,12503,22402,19712,9705,3164,822,87735,3363,5757,12318,14049,23022,23851,18965,7475,1756,110547,1177,1513,3579,4296,7593,9781,11206,5723,1535,46399,490,671,1600,1745,2712,4974,10439,9682,4472,36789,56,146,420,458,573,456,474,374,140,3098,2792,3454,7390,7363,8922,9522,9682,6860,3201,59194,18951,40780,76743,80125,92919,97469,81399,41263,14344,543992,8751,26747,55611,55283,41106,34617,19484,7868,3198,252670,2132,3738,7240,10040,23386,21970,12308,4728,1449,86999,2139,3679,8118,9611,18550,22177,20838,9396,3321,97826,832,937,1952,2624,5720,9387,10438,6173,2663,40722,317,416,981,1189,1929,4385,9876,10095,7735,36910,52,99,328,401,463,416,431,479,233,2901,2724,2872,5875,6164,7939,9240,9987,8770,5826,59403,16938,38481,80108,85313,99105,102188,83356,47513,24422,577429,16524,49988,96917,94994,68799,63788,40419,15854,5631,452911,5438,9732,17376,22540,45791,41681,22013,7895,2270,174731,5500,9439,20432,23652,41571,46023,39799,16871,5080,208368,2008,2448,5525,6925,13316,19173,21637,11895,4198,87119
39499,63,295,619,304,222,285,263,55,6,2114,23,52,92,69,82,83,83,6,0,486,32,66,163,183,255,391,312,52,0,1456,14,21,62,54,76,69,121,21,0,439,5,4,18,17,38,50,141,44,10,325,0,3,4,9,10,5,8,0,0,50,37,122,336,319,286,266,185,45,10,1608,174,559,1286,964,975,1147,1120,225,19,6478,88,369,628,251,217,309,169,38,3,2079,16,30,44,29,81,100,58,15,0,368,27,35,66,76,206,455,285,30,3,1185,6,7,19,12,33,113,75,15,0,272,0,4,12,7,14,40,86,22,3,187,4,3,4,0,7,0,3,0,0,24,30,117,223,134,147,204,121,45,9,1023,167,574,998,514,688,1224,798,153,18,5150,154,667,1249,560,437,594,439,87,4,4199,35,82,135,105,155,189,139,18,0,860,56,99,233,263,459,845,600,83,0,2635,16,23,81,69,107,178,194,38,0,716
39799,0,3,0,3,0,3,10,4,0,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,3,4,7,10,7,13,7,0,67,3,4,4,3,3,3,0,0,0,25,0,0,0,0,0,3,0,0,0,5,0,0,0,0,7,7,4,0,0,26,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,10,3,4,6,3,7,19,16,7,0,80,3,4,7,6,3,7,10,3,0,45,0,0,0,0,4,3,3,0,0,15,0,0,0,3,5,15,6,7,0,34,0,0,0,0,0,0,3,0,3,11
3GBRI,27235,65217,122393,105910,75796,52872,32881,12209,3298,497821,2721,4654,10038,10270,11710,7859,4195,1477,427,53351,3530,7016,17498,21887,37775,37235,24533,9374,2427,161275,907,1406,3376,3974,5984,6430,5413,2716,968,31174,304,562,1561,1949,3082,4558,10863,8359,3514,34756,62,283,812,682,950,908,658,418,174,4949,3732,6186,13215,11102,10617,8811,7550,5263,2867,69350,38496,85324,168903,155774,145918,118683,86096,39819,13664,852677,28879,68889,136521,120998,85232,52862,27796,10408,3873,535460,2082,3680,8427,9148,11630,7678,4579,1944,633,49796,2655,5432,13182,17016,38507,44734,32507,13383,5084,172510,606,974,2359,2962,4765,6667,5905,3605,1769,29604,178,388,1210,1743,2564,4492,12428,10627,6735,40372,53,196,696,884,1073,1068,754,745,395,5863,3466,5455,11611,9218,9178,8431,8008,6874,6150,68391,37926,85014,174005,161963,152947,125931,91973,47584,24651,902000,56115,134110,258917,226912,161031,105737,60678,22620,7167,1033276,4809,8336,18463,19413,23342,15538,8768,3420,1058,103150,6189,12452,30687,38904,76280,81970,57035,22760,7512,333784,1514,2383,5731,6933,10749,13094,11315,6318,2740,60779
3RQLD,22221,47548,88731,82773,59871,48394,35484,14598,3706,403327,3711,5894,12187,13136,16040,11499,6864,2508,580,72421,5526,9782,24339,31296,55631,57147,37141,13445,3091,237397,1435,1727,4345,5508,9087,10445,9895,4961,1395,48794,405,547,1681,2251,4125,7289,17923,13711,5028,52960,72,172,498,508,658,595,683,512,212,3899,5429,7373,15619,14764,16079,14966,13277,8852,4045,100415,38805,73055,147395,150230,161488,150331,121271,58584,18065,919216,23561,52007,107819,103378,74865,50801,30159,12581,4241,459407,2885,4626,10286,12276,16839,12092,7342,2904,860,70103,4129,7222,18097,24574,53585,62629,44477,17272,5833,237819,1000,1135,3012,3848,6854,9788,9453,5460,2398,42941,239,340,1111,1560,2777,5687,15878,13930,7984,49502,59,114,398,443,549,591,562,535,316,3574,4948,6233,12822,12196,13807,13647,13196,10568,7408,94822,36814,71679,153548,158272,169272,155231,121061,63252,29037,958174,45782,99558,196551,186149,134732,99196,65638,27184,7949,862739,6596,10520,22474,25408,32882,23589,14209,5414,1439,142527,9657,17008,42437,55870,109215,119768,81615,30720,8923,475213,2432,2864,7357,9350,15939,20230,19352,10423,3790,91730
49499,17,73,141,68,66,50,40,8,0,461,4,19,54,36,49,44,17,4,0,218,18,24,52,52,43,44,36,10,3,280,6,12,20,22,14,13,20,6,0,109,0,5,13,16,14,19,18,12,0,97,3,0,3,3,3,4,3,0,0,22,17,39,67,84,98,57,32,4,3,414,70,161,350,276,285,239,168,43,13,1596,8,47,124,68,51,48,23,3,0,379,6,11,19,13,37,19,12,0,0,121,11,7,10,11,42,54,25,10,4,168,0,7,5,8,14,6,5,0,0,52,0,4,3,3,3,6,16,0,3,42,0,0,4,0,0,3,0,0,0,10,10,18,42,38,49,26,15,9,4,202,39,96,209,140,192,164,97,21,7,979,29,121,264,134,116,100,63,7,4,844,12,32,71,45,84,65,23,3,0,345,28,28,71,61,82,98,63,16,3,449,12,20,21,29,26,18,32,10,0,162
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
