GCCSA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
49799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,..,7102,5830,1544,1667,1795,1009,369,92,19401,..,2261,6126,5540,8418,14214,16006,13939,8895,75406,1615,2651,2198,1083,1080,1307,1201,709,390,12235,105599,77340,84892,80076,83976,76500,58281,33384,14354,614394,..,3494,62205,92499,94797,88223,70072,33743,7911,452950,..,10296,31364,18969,16078,10059,4008,914,174,91860,..,1773,7689,13968,17220,9486,3624,2850,1815,58422,213402,..,..,..,..,..,..,..,..,213402,..,66369,..,..,..,..,..,..,..,66369,..,37817,22292,6853,4792,2250,366,13,0,74384,..,8040,4904,1750,2190,3403,2558,1819,1155,25822,..,5287,4191,1409,1047,661,266,71,22,12953,..,14765,14472,4368,4242,3798,2103,738,200,44685,..,4586,14102,14500,20176,25839,24673,19095,11855,134828,3313,5143,5033,2847,2519,2357,2032,1078,544,24867,216716,157554,166252,157179,163061,146064,109699,60329,23681,1200534
4RSAU,..,740,600,220,497,522,335,115,20,3055,..,762,1309,1081,2448,4091,4949,4490,2622,21757,670,950,585,379,554,807,755,364,120,5185,30643,17302,17830,19435,23820,24642,20736,11149,4121,169680,..,947,13088,20916,26422,30576,27128,12392,2491,133953,..,3946,8103,5652,5692,3903,1711,421,83,29508,..,682,2475,3825,4040,1770,815,665,424,14709,61740,..,..,..,..,..,..,..,..,61740,..,12894,..,..,..,..,..,..,..,12894,..,9970,3557,1425,1128,546,106,3,0,16733,..,1445,670,344,586,709,608,389,259,5005,..,879,549,269,279,187,85,25,9,2275,..,1669,1564,715,1098,1133,688,251,60,7175,..,1675,3629,3581,6739,9262,9020,6775,3615,44291,1417,1842,1395,1002,1190,1540,1409,630,189,10617,63158,35945,35030,37735,47174,49621,41563,21543,7124,338897
59499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,74,125,164,88,86,134,70,14,3,755,74,125,164,88,86,134,70,14,3,755,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,160,270,433,273,261,272,169,29,7,1876,160,270,433,273,261,272,169,29,7,1876
59799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
5GPER,..,7895,9431,2351,2110,2161,1249,478,138,25807,..,2890,8909,7410,9409,15967,17971,15660,8680,86895,2238,3493,3066,1488,1383,1756,1524,894,448,16294,171564,114292,141080,128360,122337,101485,71310,39397,14954,904779,..,5686,106335,156341,150522,124487,89676,40832,8514,682391,..,17676,57996,29977,22732,12593,5042,1186,202,147404,..,2485,10232,18188,21980,11843,4739,3145,1947,74557,347942,..,..,..,..,..,..,..,..,347942,..,96907,..,..,..,..,..,..,..,96907,..,58400,29559,8680,5197,2495,435,16,3,104782,..,13705,9324,2702,3248,4869,4038,2880,1689,42452,..,7936,9280,2710,1760,1037,366,124,47,23268,..,17401,24527,7191,5549,4750,2681,1012,282,63387,..,6274,21069,18975,22497,28900,28231,21518,11536,158997,4522,6711,6880,3698,3051,3016,2504,1411,619,32424,352463,233182,275209,248460,236541,193988,137713,72124,24836,1774514
5RWAU,..,1116,1187,416,626,610,345,114,43,4450,..,817,1767,1441,2766,4602,4457,3821,1769,21441,954,1077,981,565,805,1051,741,317,130,6621,47300,23167,29422,30264,31436,28292,19096,9534,3102,221624,..,1338,20875,33223,35193,33777,24706,10130,1955,161204,..,5984,14530,9842,8517,5335,1909,473,59,46646,..,1009,3398,5029,5049,2249,985,667,395,18787,95057,..,..,..,..,..,..,..,..,95057,..,14972,..,..,..,..,..,..,..,14972,..,13677,4464,1758,1117,520,82,3,0,21624,..,2943,1392,730,960,1196,951,619,342,9121,..,1491,1186,536,426,301,143,52,12,4144,..,2471,2988,1206,1524,1363,779,250,70,10656,..,1900,4704,4433,7394,9994,8552,5743,2482,45203,1996,2171,2271,1523,1704,1979,1430,576,194,13847,97055,47962,55813,58284,61898,56714,39539,18508,5506,441272
69499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,29,41,31,37,29,22,17,0,0,201,29,41,31,37,29,22,17,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,59,92,88,74,66,38,28,3,0,445,59,92,88,74,66,38,28,3,0,445
69799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
6GHOB,..,1269,1035,270,307,354,158,88,27,3496,..,480,1120,1005,1617,2898,3100,2657,1434,14312,377,585,372,220,239,352,300,163,56,2668,18629,12423,13529,13566,14311,13988,10295,5797,2259,104798,..,437,8278,13522,14857,15433,11812,5362,1166,70870,..,2366,6381,4244,3608,2224,887,195,27,19923,..,485,1784,2730,3068,1473,636,421,273,10880,37521,..,..,..,..,..,..,..,..,37521,..,9808,..,..,..,..,..,..,..,9808,..,5736,2803,1058,695,401,61,3,0,10760,..,1033,542,230,299,536,434,356,176,3599,..,793,616,185,174,107,55,15,7,1954,..,2589,2475,687,659,705,370,162,42,7694,..,926,2441,2470,3548,5134,4766,3633,1947,24852,746,1107,907,527,515,622,526,270,81,5303,38272,25290,26232,25649,27414,26629,19544,10424,3716,203170
6RTAS,..,851,546,221,376,500,303,116,23,2937,..,696,1003,977,2189,3731,4164,3514,1683,17956,475,724,442,251,404,655,602,261,99,3914,23077,14581,13969,15599,19167,19427,15459,8006,2719,131997,..,771,9458,15675,20550,22977,18988,8047,1479,97940,..,3262,6658,4943,4619,3025,1331,302,54,24187,..,679,2158,3245,3315,1450,729,628,345,12543,46336,..,..,..,..,..,..,..,..,46336,..,10804,..,..,..,..,..,..,..,10804,..,8061,2808,1293,971,489,80,0,0,13701,..,1085,442,188,385,576,533,348,204,3763,..,781,386,212,185,139,62,38,7,1813,..,1906,1375,544,813,964,671,238,50,6554,..,1425,2556,2782,5153,7269,7014,5138,2332,33665,935,1455,1074,655,866,1134,1087,470,141,7816,47273,30215,26908,29536,36853,38021,30503,15196,4612,259119
79499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,35,21,29,27,29,47,19,3,0,209,35,21,29,27,29,47,19,3,0,209,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,66,40,58,50,57,77,40,4,0,397,66,40,58,50,57,77,40,4,0,397
79799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,..,480,986,282,275,228,100,26,10,2365,..,165,525,553,619,912,696,388,100,3957,216,268,299,139,186,182,108,33,3,1430,12180,6785,11063,9145,7805,5685,2964,1066,247,56935,..,547,7915,10427,8637,6329,3401,955,119,38338,..,1878,5597,2971,2435,1269,378,60,3,14594,..,203,720,1220,1278,655,314,157,56,4601,24471,..,..,..,..,..,..,..,..,24471,..,4459,..,..,..,..,..,..,..,4459,..,3364,1478,497,254,78,18,0,0,5690,..,838,655,278,298,417,309,206,80,3067,..,699,1099,359,281,182,84,12,4,2712,..,1127,2340,807,711,526,254,66,15,5843,..,428,1389,1355,1651,1958,1391,624,167,8957,429,603,641,353,384,338,195,58,10,3018,24899,14148,21838,18271,15938,11752,6340,2125,441,115756
7RNTE,..,178,347,108,121,111,42,18,4,925,..,128,345,274,455,580,338,140,45,2295,241,246,233,156,169,132,49,14,3,1250,9407,5349,6671,5366,4987,3606,1484,516,119,37505,..,1374,4914,5100,4670,3412,1356,333,42,21197,..,847,2295,1654,1258,691,215,38,3,6997,..,347,865,978,870,512,258,104,27,3960,18996,..,..,..,..,..,..,..,..,18996,..,1960,..,..,..,..,..,..,..,1960,..,3016,1265,451,211,54,3,0,0,5004,..,1936,1186,791,817,630,380,174,52,5964,..,292,230,134,117,86,35,9,0,900,..,384,697,260,269,217,89,24,7,1943,..,296,808,688,1111,1263,749,287,68,5271,495,487,457,321,307,253,98,27,8,2445,19494,10933,12724,10356,9644,7111,3172,995,207,74639
89499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,13,32,24,23,13,19,3,0,0,114,13,32,24,23,13,19,3,0,0,114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,26,57,61,56,35,30,8,0,0,276,26,57,61,56,35,30,8,0,0,276
89799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,..,3173,2830,441,372,441,183,92,16,7548,..,842,2844,2266,2502,3611,3830,2651,1406,19948,442,862,815,369,363,427,391,214,81,3967,34484,23244,30911,27622,24298,19665,13881,6794,2529,183440,..,982,23541,34242,29238,23561,16743,6933,1505,136749,..,3933,12215,6622,4865,2624,966,194,37,31451,..,347,1628,3580,4476,2288,901,570,338,14130,70328,..,..,..,..,..,..,..,..,70328,..,18460,..,..,..,..,..,..,..,18460,..,9586,5159,1612,900,411,73,3,0,17749,..,2048,1509,490,542,838,743,482,330,6981,..,1831,1684,526,255,156,50,15,7,4529,..,6276,6560,1278,921,850,379,173,41,16477,..,1680,6010,4975,5345,6246,5646,3597,1905,35413,932,1598,1691,886,741,764,647,320,119,7693,71258,46741,60003,54209,47294,37736,26149,12289,4285,359954
99499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,15,0,0,0,3,0,3,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,3,0,8,4,8,4,0,0,25,3,3,0,8,4,8,4,0,0,25
99799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,..,3,4,3,3,5,3,3,0,21,..,5,17,17,15,40,35,25,18,173,3,6,6,5,12,17,3,10,0,62,359,136,185,260,268,264,179,80,23,1762,..,13,163,294,290,307,242,74,14,1392,..,16,49,84,78,50,18,3,0,295,..,4,16,29,42,31,13,6,4,143,725,..,..,..,..,..,..,..,..,725,..,112,..,..,..,..,..,..,..,112,..,98,42,20,16,3,0,0,0,185,..,16,9,9,14,9,16,16,4,90,..,7,0,0,5,4,0,0,3,23,..,3,12,4,3,4,4,3,0,30,..,11,24,41,59,100,68,41,22,367,15,11,18,8,24,30,13,12,0,135,742,292,330,496,532,537,368,160,46,3499