GCCSA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,102609,95034,49185,31731,46153,32310,17594,374621,27160,26936,14762,8823,11300,5346,2537,96861,25369,23293,11413,6667,8788,4339,2121,81986,102213,101756,56455,35093,44541,20191,9611,369855,1363,1369,691,486,405,175,74,4575,258719,248389,132506,82797,111188,62353,31937,927902,7705,11963,8699,6727,10678,7296,4498,57558,4280,5969,3840,2726,3568,1547,801,22730,2451,3979,2544,1831,2559,1159,607,15129,16057,21167,13661,9379,12427,4419,2236,79338,1478,1509,874,526,599,195,92,5269,31968,44581,29622,21186,29820,14616,8236,180029,290692,292973,162129,103986,141012,76962,40177,1107927
1RNSW,8136,8218,4413,2834,3867,1455,628,29555,6455,7471,4172,2643,3523,1062,406,25732,7104,7092,3760,2408,3175,925,398,24859,91947,96623,54819,34397,44384,10786,3665,336636,636,719,431,268,246,54,19,2373,114281,120127,67600,42559,55193,14277,5116,419152,604,990,826,612,952,390,194,4565,1744,2404,1629,1224,1697,405,170,9270,709,1351,1047,788,1139,322,157,5513,23687,30758,19005,12955,15982,3308,1129,106824,1136,1169,729,494,380,73,28,4009,27892,36668,23237,16073,20147,4489,1668,130179,142168,156802,90836,58633,75346,18773,6782,549336
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,89970,77108,39492,24450,35290,25228,13760,305303,21602,20787,11341,6742,9412,5257,2760,77892,21174,18513,9291,5674,7818,4382,2295,69150,106805,105818,59332,36880,49059,25396,12300,395592,1223,1193,628,354,362,174,93,4024,240778,223421,120086,74101,101934,60432,31209,851962,7566,10634,7412,5652,9044,6296,3882,50483,3125,4528,3035,2190,3214,1670,889,18655,1950,3006,2046,1425,2189,1176,686,12483,13870,20022,13642,9720,13503,6226,3129,80107,1380,1356,788,581,533,251,117,5001,27895,39538,26921,19567,28484,15615,8711,166735,268673,262960,147010,93666,130422,76054,39920,1018703
2RVIC,4990,4532,2586,1630,2242,836,313,17130,3197,3344,1928,1284,1759,535,170,12210,3332,3304,1677,1075,1433,473,162,11462,51927,53982,30656,19580,26325,7523,2231,192220,373,379,233,191,141,32,12,1356,63818,65539,37078,23757,31904,9398,2887,234382,450,665,491,371,597,248,96,2929,849,1167,743,587,781,243,89,4454,396,688,468,329,523,155,68,2623,10736,14598,9154,6591,8924,2302,668,52970,570,555,371,230,223,49,17,2013,13006,17669,11217,8117,11049,3000,933,64989,76822,83209,48296,31874,42953,12400,3819,299371
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,30636,29839,16709,10493,14373,7096,3525,112674,11917,11603,6204,3777,4679,1868,736,40786,11446,10642,5323,3236,4181,1655,710,37197,62453,63623,35320,21757,28008,10668,4407,226233,624,603,342,211,199,54,15,2045,117068,116311,63906,39462,51448,21337,9399,418934,3097,4492,3340,2448,3494,1845,959,19672,2462,3300,2090,1315,1739,548,290,11747,1533,2373,1535,1018,1423,500,262,8637,12628,17419,10939,7231,9103,2676,1241,61235,762,810,462,276,291,61,30,2695,20483,28395,18364,12285,16045,5638,2779,103991,137551,144704,82271,51750,67496,26971,12176,522922
3RQLD,14449,15524,9320,6211,8139,2483,1056,57177,8376,8547,4864,2973,3817,823,302,29701,9747,9336,5024,2945,3787,825,336,32007,77407,82128,46418,28539,34948,5877,2210,277531,607,582,392,267,220,34,15,2116,110587,116118,66013,40935,50919,10045,3920,398532,1312,2348,1823,1428,2090,656,368,10026,2065,3042,1764,1304,1635,325,133,10269,1367,2362,1466,1062,1495,297,134,8184,18842,25883,15899,10649,12285,1835,809,86199,883,934,536,346,304,37,7,3052,24470,34562,21490,14784,17809,3151,1460,117736,135060,150681,87501,55722,68734,13194,5378,516270
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,15754,13931,7707,4826,7050,4452,2331,56050,4445,4512,2687,1873,2614,1332,754,18210,4492,4045,2232,1428,2098,1099,618,16009,36045,35688,19385,12212,16536,7438,3581,130885,262,277,157,105,97,36,9,944,61006,58450,32161,20441,28394,14356,7300,222106,1374,1895,1415,1112,1795,1162,697,9445,1018,1358,920,700,1088,489,283,5862,527,887,597,464,829,379,214,3899,7252,10019,6172,4345,5879,2206,1073,36952,410,420,292,166,150,50,25,1513,10584,14587,9394,6788,9731,4287,2297,57662,71587,73031,41560,27229,38129,18646,9592,279769
4RSAU,910,924,575,390,488,132,47,3464,517,625,395,268,408,90,21,2319,708,671,377,261,351,58,22,2447,13550,14436,8234,5218,6631,1033,224,49329,139,107,84,42,38,3,0,408,15815,16764,9657,6184,7923,1314,315,57970,73,107,95,86,103,26,12,504,152,220,175,132,182,35,7,905,76,135,133,97,131,36,8,622,2882,3995,2582,1839,2291,342,95,14025,153,207,110,68,57,15,3,606,3347,4664,3096,2212,2764,455,122,16663,19162,21423,12758,8398,10683,1765,435,74630
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,37332,35487,20099,12860,18489,9872,4961,139109,11402,10626,5821,3591,5000,2003,913,39359,11655,10323,5199,3110,4383,1989,870,37526,43231,42778,22703,13636,17692,6912,3028,149976,480,464,247,185,178,72,26,1649,104101,99675,54073,33384,45739,20838,9805,367618,2770,4168,3017,2286,3787,1947,1202,19181,1896,2575,1640,1211,1680,646,325,9965,1275,2068,1303,1028,1397,524,281,7876,7735,10797,6661,4483,5784,1790,859,38113,569,598,384,250,202,77,30,2104,14245,20213,13004,9252,12846,4973,2699,77234,118347,119887,67071,42638,58588,25814,12498,444850
5RWAU,3139,3468,1983,1328,1688,245,55,11906,1927,1979,1044,656,855,89,32,6573,2439,2213,1160,641,825,65,14,7358,18319,19187,10383,5868,6763,548,142,61216,190,180,112,71,54,8,0,614,26017,27025,14680,8565,10188,945,241,87670,200,336,267,215,297,40,8,1358,357,493,304,254,320,33,13,1775,257,386,307,195,273,20,15,1449,3842,5223,3224,2201,2253,192,62,17004,221,226,157,97,61,7,3,771,4869,6668,4261,2959,3202,291,96,22359,30886,33692,18949,11526,13393,1240,338,110026
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,918,807,471,277,440,213,105,3231,671,733,406,277,366,131,72,2653,655,658,320,203,286,130,51,2296,7468,7686,4265,2628,3496,1266,465,27272,52,44,29,22,24,7,5,176,9750,9923,5486,3406,4609,1750,704,35630,73,154,105,80,126,66,41,645,150,222,144,115,150,50,33,863,50,96,81,80,107,51,16,478,1956,2631,1613,1107,1462,436,153,9362,112,110,42,47,40,8,3,355,2344,3205,1986,1421,1882,618,246,11705,12092,13124,7472,4831,6491,2363,948,47335
6RTAS,658,651,405,279,371,127,46,2539,576,622,382,219,338,96,30,2261,622,628,333,214,247,53,34,2122,9443,10373,6118,3819,5074,1239,290,36350,63,66,39,38,23,9,0,231,11362,12340,7273,4566,6055,1517,402,43510,53,67,44,38,91,32,12,343,118,192,128,115,132,42,8,742,76,145,92,78,111,30,9,547,2477,3373,2004,1373,1822,383,94,11535,140,138,72,65,31,11,0,457,2862,3918,2347,1674,2195,504,134,13622,14216,16255,9619,6236,8251,2020,531,57137
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,2076,1674,942,604,764,275,110,6448,531,485,256,172,235,48,24,1754,804,620,308,183,263,50,28,2250,4421,3994,2015,1193,1384,224,67,13305,51,51,29,15,17,0,0,156,7880,6828,3551,2163,2663,598,235,23920,110,157,102,88,153,52,27,681,101,99,66,39,62,10,7,387,68,121,82,62,80,20,4,424,748,1011,593,428,486,40,18,3322,68,54,40,23,14,0,3,200,1088,1438,874,642,795,120,58,5010,8970,8269,4428,2805,3456,718,286,28928
7RNTE,574,490,244,151,177,36,6,1677,185,165,61,40,46,3,0,494,243,175,70,55,55,8,0,606,3914,4113,2180,1300,962,107,21,12600,59,58,22,30,3,0,0,179,4971,5001,2581,1579,1246,149,34,15557,13,37,30,23,27,0,0,132,21,36,31,14,12,0,0,112,25,32,17,18,21,0,0,115,1247,1578,944,601,406,37,14,4825,57,76,42,34,3,3,3,214,1362,1754,1058,695,472,39,17,5397,6339,6750,3633,2273,1719,189,48,20957
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5890,5115,2518,1498,2025,1192,603,18833,1869,1820,1031,593,893,377,190,6789,2107,1935,962,614,879,357,192,7042,12632,11651,6066,3723,5011,1923,887,41886,85,82,41,26,23,14,6,273,22578,20603,10618,6449,8833,3863,1881,74827,388,546,391,280,446,277,143,2464,308,389,289,170,267,115,51,1586,128,266,176,128,217,85,38,1040,1540,2223,1549,1031,1487,503,219,8546,101,94,53,28,35,6,6,318,2464,3514,2457,1631,2443,984,460,13961,25043,24123,13082,8086,11275,4840,2341,88786
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,44,39,22,22,21,3,0,142,33,27,17,4,7,3,0,83,31,52,22,9,11,0,0,121,109,102,47,36,25,7,0,328,0,3,4,3,3,0,0,11,216,222,103,71,69,8,3,693,0,7,4,0,0,0,0,21,5,0,3,5,4,0,0,17,0,4,8,3,3,0,0,23,9,21,18,10,19,3,0,85,3,0,0,4,0,0,0,7,19,34,38,22,27,5,0,147,231,262,141,92,93,12,3,836