SA3_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
10102,319,106,693,10765,13925,5733,3732,7805,4139,46101
10103,168,127,449,3420,4364,1950,1567,2705,2083,16097
10104,991,565,2389,9932,15966,9223,7133,11036,6743,60033
10105,297,269,892,5488,7491,3687,3001,5856,3646,29165
10106,317,239,839,5545,7727,3922,3392,5050,3046,28685
10201,2425,1220,5691,30489,38033,18076,13661,27613,10932,138818
10202,1934,1233,4585,25923,32382,15827,13387,29392,11576,128494
10301,421,228,1008,7622,9951,4636,3718,6847,4780,37548
10302,763,416,1749,7868,10360,5600,5242,9675,5778,44522
10303,500,199,1051,6364,9080,4856,4462,7589,5499,37851
10304,621,215,1262,9305,12215,5707,4604,9217,4271,45320
10401,801,283,1614,6846,10388,5847,5502,8654,4798,42036
10402,941,676,2437,13440,19135,9645,7519,13600,7057,70390
10501,217,106,444,3130,4179,1949,1848,4652,3274,19041
10502,305,131,625,2633,3960,1900,1773,4475,2048,16795
10503,803,318,1677,10350,13870,6797,5729,11667,6904,55318
10601,753,319,1581,12795,17544,8850,8373,14658,7534,69748
10602,562,253,1248,12294,15809,7754,6320,11722,4027,57916
10603,845,369,1840,10761,15263,8263,6634,12066,5825,58816
10604,230,138,553,4519,6044,2891,2721,4650,2840,23662
10701,966,363,1940,12349,15176,7611,6278,14984,4538,60943
10702,0,0,0,0,3,0,0,4,0,8
10703,823,513,2076,15093,19049,9762,7633,15298,5797,72628
10704,1603,469,3312,25183,28852,12716,9008,22909,7489,106148
10801,644,342,1449,4314,6587,3778,3133,6050,2982,26840
10802,658,452,1573,6272,9255,5472,4876,8647,5468,39985
10803,3,5,10,68,102,39,27,55,41,327
10804,1406,558,2981,12041,17481,9162,7133,13398,6246,65458
10805,704,457,1734,7196,11034,6537,5847,9527,4745,44882
10901,751,348,1587,10440,13192,6220,4633,10179,4790,49454
10902,114,50,245,1742,2450,1186,1067,2233,1514,10189
10903,620,336,1373,6259,8321,4413,3745,7550,4418,34709
11001,343,164,825,6356,8369,3717,2796,5969,3128,30334
11002,421,281,1050,5198,7327,4052,3925,6511,4296,31309
11003,153,116,406,3504,4693,2280,2068,4485,3024,20053
11004,934,396,1969,12179,16296,8338,6930,13208,7282,64232
11101,1338,683,3279,20839,27241,13600,10002,19936,6432,98050
11102,1062,551,2330,12259,16309,8387,6753,13373,4444,61527
11103,1426,1345,4317,33047,37945,15999,11108,27574,10439,136118
11201,1016,654,2584,13184,18015,8826,6314,11119,7820,65274
11202,868,371,1878,10556,15082,7779,6467,10979,6334,57199
11203,1592,923,3581,14673,19386,9911,7485,16487,8101,76052
11301,468,347,1216,7353,8978,4410,3740,8685,5038,38201
11302,156,145,430,1963,2799,1573,1408,2383,1698,11823
11303,1100,415,2309,15244,19448,9224,7592,15505,7806,74820
11401,1283,800,3158,14587,21350,11627,9508,16815,9298,83202
11402,600,301,1430,7942,10860,5729,4424,6907,3618,39475
11501,1165,684,2906,28907,31521,15183,11201,23109,4825,114744
11502,312,65,608,4887,5654,2940,2427,3936,1425,21273
11503,102,42,259,4274,5567,2691,2224,3197,1757,19711
11504,98,30,230,6211,6813,3339,2405,5073,1216,25058
11601,1058,318,1998,22831,25461,11076,9903,30665,7344,107280
11602,260,57,488,16694,19119,8130,6422,15166,4469,70004
11603,719,120,1084,16544,17445,7550,7956,28135,7396,85030
11701,298,186,765,9423,8996,3386,2484,11046,3437,38768
11702,492,79,856,14063,12894,4034,2386,9308,4266,46956
11703,744,510,1811,60736,44152,9995,5313,52231,27141,199572
11801,1280,673,3166,33343,26556,8722,5443,20279,12250,106594
11802,1492,568,3181,32604,29010,10142,6566,29293,12074,119690
11901,2150,541,4028,27309,27572,12780,12301,44123,10666,134748
11902,1360,317,2601,22284,21758,9817,9455,36177,8540,108033
11903,1705,470,3409,24313,24576,11236,8605,30911,6390,106028
11904,1560,754,3379,26305,26383,10617,8243,34790,9183,115524
12001,1072,226,2011,18214,18430,7290,5136,17187,5010,71258
12002,369,92,726,13330,14160,4668,2603,6901,4143,45798
12003,1850,410,3410,32042,30846,12042,8454,36780,9850,130010
12101,1198,293,2514,24556,25246,10282,6878,18656,5435,91054
12102,723,192,1532,15605,18663,8573,5956,12318,3038,64158
12103,1526,692,4039,24095,26270,13360,9213,16855,4621,94421
12104,817,369,2052,25202,23648,7628,4474,12890,6909,80751
12201,249,206,892,9911,9652,3756,2414,5611,2669,34011
12202,599,396,1651,12166,14475,6664,4205,7904,3281,48692
12203,1987,820,4399,31842,33807,14224,9168,23289,7994,120319
12301,414,221,868,11719,13349,5964,4389,9529,2570,47522
12302,710,481,1695,26404,29745,13066,11849,33309,10015,124387
12303,248,160,605,7028,8651,4250,3642,5915,2688,32176
12401,797,208,1622,13898,19365,9108,6567,9877,3837,62651
12402,0,0,0,0,3,0,0,0,0,3
12403,937,217,1715,25129,29518,12629,10411,24266,7706,109652
12404,356,138,693,6583,7242,3294,2872,6304,3313,29613
12405,231,148,535,9254,10326,4269,3856,11541,3619,42867
12501,562,146,998,15330,13963,5640,5391,25885,7807,74020
12502,558,207,1287,12412,13324,6285,5145,13644,3040,53851
12503,1477,400,2710,22896,22786,10362,10440,41599,10441,118524
12504,1411,406,2597,24077,27197,11840,9921,31400,9090,113525
12601,518,130,1149,9653,10665,5211,3610,8295,1481,38919
12602,1896,506,3780,27731,28657,12453,8644,28409,6410,112299
12701,463,107,815,16784,16516,7036,6955,24866,6634,78799
12702,1973,332,3187,28941,27274,12643,12424,59124,10283,150687
12703,891,235,1547,18484,19520,8446,7905,28068,8661,91086
12801,1675,461,3563,22856,24499,10695,7510,18675,5790,90027
12802,1387,220,2381,21468,24995,11492,7870,16702,3779,86302
19797,5,0,10,23,36,19,40,163,93,374
19999,41,26,78,1976,1606,620,412,3500,3428,11545
20101,1146,404,2398,18340,22616,10303,8241,17277,7076,83848
20102,281,159,648,4253,6292,3321,2834,4048,2679,23428
20103,317,168,700,3480,4926,2877,2712,4574,2682,21245
20201,1080,609,2515,16582,20537,9288,7483,15251,7097,76243
20202,466,283,1128,7245,10895,5541,4473,6080,4845,39071
20203,137,69,311,1681,2207,1251,1252,1852,1220,9469
20301,143,35,258,3012,4126,2086,1898,2444,1191,14759
20302,2393,1032,5191,34725,39916,18278,14162,33754,13637,154470
20303,870,307,1869,12756,16512,8412,6090,9565,4552,57894
20401,607,325,1384,8275,11317,5686,4988,9071,5334,44677
20402,622,464,1631,7181,10064,5239,4104,7403,4162,38158
20403,750,282,1576,11567,15705,7448,5774,10922,5542,56959
20501,456,276,1111,8001,10302,5246,4662,7296,3817,39320
20502,574,398,1395,6399,9419,5363,4704,7389,4716,37995
20503,854,402,1954,9329,13405,7302,6022,9613,5499,51170
20504,823,382,1759,11199,14876,7382,6515,13308,6577,59863
20505,450,213,1029,6362,8662,4708,4149,6809,4560,35249
20601,795,197,1680,22192,21476,6699,4231,14457,5276,74327
20602,563,145,1089,12900,13116,4333,2607,7394,3279,43625
20603,714,198,1480,15454,14895,5552,3722,11510,4534,55664
20604,516,421,1255,36755,26928,6222,3530,38009,15812,127245
20605,734,221,1433,28624,24366,6512,3686,15672,10225,89081
20606,578,262,1352,19028,14356,4053,2419,10962,5865,56683
20607,502,191,1083,26987,21458,5667,2968,12573,8014,77659
20701,2211,595,4829,38772,38006,16293,10588,26497,8276,138430
20702,1428,461,3004,17980,18714,9201,6929,19126,4370,76324
20703,1322,584,3273,21668,21964,9552,6497,20952,4964,85602
20801,1611,562,3624,20826,21992,9979,6275,14261,5342,78669
20802,2192,583,4405,32970,33533,13015,8121,26206,7508,121353
20803,1444,806,3393,24302,26970,10712,7196,19356,7009,95538
20804,526,145,1121,9669,9418,3702,2426,6971,2096,34286
20901,1442,598,3253,24506,27930,12389,8739,19814,6473,99850
20902,1071,629,2649,18359,19047,7332,5805,21519,7592,79654
20903,319,121,720,13042,15099,7392,5043,8729,2977,52287
20904,1422,323,2440,36327,39083,16945,15050,47837,12454,167708
21001,706,299,1713,11204,12052,5654,4465,11510,3612,48500
21002,163,84,411,4984,6642,3332,2746,3635,1913,23263
21003,1364,341,2626,13153,14425,5912,5042,17551,5378,61453
21004,299,105,625,7449,8790,3780,2969,6366,2261,31617
21005,758,191,1280,24123,24599,10815,10742,43302,10190,123772
21101,1612,515,3105,31532,33720,14947,11055,28738,7090,127080
21102,379,92,668,5347,5544,2817,2096,4313,1152,21275
21103,1277,496,2639,22693,25009,10754,7737,17880,5350,89423
21104,757,295,1691,12252,13666,6334,4377,10544,2647,49819
21105,1182,440,2531,28678,33782,15783,11858,22037,8309,120450
21201,572,217,1177,16788,19489,8812,7173,14568,5703,72532
21202,1130,285,2043,23963,25313,11218,9218,27982,6689,104387
21203,699,269,1407,28213,30482,12959,11371,34398,9646,127067
21204,2085,564,3755,31326,31167,13462,11743,53565,12404,153660
21205,2288,791,4926,35106,36224,16215,11960,39068,8908,147473
21301,1450,496,2699,30648,30799,13036,12159,51096,13648,151396
21302,929,321,1910,16491,18385,7431,5703,15313,5134,68456
21303,667,286,1379,17882,17876,5886,4275,17057,6120,69093
21304,656,191,1209,25223,27764,12158,11212,29881,10024,116252
21305,733,338,1490,35992,41140,17842,16142,43016,13156,167288
21401,1279,559,2713,25635,29055,12245,9182,23615,9381,109114
21402,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156
21501,926,422,2119,9098,12159,6473,5524,10226,5514,48998
21502,664,308,1419,8294,10637,5239,4309,9988,5178,43642
21503,550,302,1276,5543,6979,3810,3393,6632,4356,30716
21601,550,277,1164,5867,7571,3817,3342,6445,3499,30536
21602,428,225,935,4443,5772,2903,2700,5268,2903,23981
21603,688,325,1486,10069,12131,5869,4700,12272,5950,50990
21701,517,263,1138,5282,7546,3946,3461,6160,3222,29624
21703,474,224,1053,5758,7601,3996,3464,6247,3345,30421
21704,600,284,1340,8531,10575,5199,4125,8047,4149,40629
29797,0,0,0,7,3,3,0,11,3,25
29999,22,12,38,1281,954,324,278,1969,2020,6825
30101,561,355,1276,14162,16834,7301,5104,11096,3221,57711
30102,872,448,2087,15290,19098,9017,6512,13011,4639,67566
30103,608,248,1347,13407,16120,6694,4583,10051,3584,54445
30201,480,146,1007,8366,9898,4336,3003,5906,1690,33199
30202,723,527,2093,14640,16740,6488,4492,10302,4151,56808
30203,264,261,773,8529,9358,3383,2203,6446,2493,32413
30204,706,195,1333,11084,13293,5502,4091,9904,3184,47054
30301,524,173,1175,11150,11959,4863,3322,7156,2436,40887
30302,669,173,1336,17773,17920,5752,3492,10790,4628,60344
30303,717,184,1407,14272,15326,6618,4914,13967,3477,58572
30304,329,95,783,8058,8926,3597,2485,6637,2157,31850
30305,472,101,731,11096,11837,5229,3932,12064,2768,46926
30306,464,157,887,9362,9383,4195,3423,12166,2412,40942
30401,170,258,586,6716,8052,3501,2266,4100,1366,26009
30402,302,273,943,9023,11275,5296,3548,4898,1810,35848
30403,261,167,909,13022,11853,4335,2694,8990,2669,43562
30404,505,217,1163,10134,12361,5222,3490,6268,2151,39620
30501,396,282,956,19120,15162,3970,2231,14128,7546,62160
30502,166,73,438,10117,9954,3285,2145,5199,2581,33278
30503,445,319,1279,22500,20725,6790,4070,12983,6538,73616
30504,267,80,626,14423,14015,4703,2889,7136,3268,46439
30601,161,79,398,9290,12900,5210,3557,6952,3878,41791
30602,769,332,1507,16632,20779,8302,6543,17827,10064,80153
30603,352,134,727,5029,6783,3444,3301,6003,3436,28001
30604,38,71,159,2018,2506,1139,843,1637,1557,9701
30605,417,176,932,5537,8299,4544,4116,6182,4206,32890
30701,334,194,765,6466,8215,3968,3771,7136,5002,34560
30702,438,233,937,6179,8106,4145,4248,6830,3765,33273
30703,469,166,982,5727,8290,4514,4375,6528,3123,32566
30801,60,31,133,4574,5435,2379,2373,3641,3318,21714
30803,945,614,2306,18019,24255,11787,9866,18347,10297,92567
30804,100,36,211,2208,2827,1357,1326,2121,1314,11152
30805,236,86,509,9602,12989,5962,5854,8731,4556,47696
30901,738,288,1625,13247,14011,5480,3551,11048,5174,52515
30902,753,281,1602,10458,11845,5019,3539,9320,4204,44386
30903,931,470,2001,12406,14148,6002,4442,13589,5845,56429
30904,93,48,253,2902,4383,2143,1760,2256,1731,15178
30905,181,65,369,6033,7414,3537,2552,4476,1733,25756
30906,470,383,1192,12374,14665,6495,4712,10923,4355,53531
30907,519,267,1119,21744,25398,10799,8495,17433,7747,91615
30908,439,587,1307,9990,10562,4245,3068,9318,3598,40781
30909,817,375,1605,11928,12100,4751,3239,13164,5020,50206
30910,329,200,785,8540,8212,3102,2022,8948,5304,36129
31001,343,313,1046,11860,13099,5523,4418,13852,8222,56975
31002,480,184,979,9143,12595,6555,6217,9818,6072,50400
31003,808,271,1699,17539,21912,9846,8076,17100,6901,81372
31004,167,74,387,14385,16517,6864,5589,13178,5010,61542
31101,201,47,328,2068,2692,1420,1272,2343,1359,11152
31102,282,112,580,6732,8185,3581,2936,7809,2877,32120
31103,440,112,761,13196,15123,6624,5560,15019,5146,60673
31104,106,37,214,7584,9892,4566,3688,6306,2668,34696
31105,581,129,937,10505,12644,5530,4164,10608,3875,47315
31106,480,137,861,12964,14773,6569,5509,15162,5065,60044
31201,139,71,313,4789,6223,2790,2775,4992,4330,25902
31202,830,257,1645,18389,24177,11242,9987,17746,9671,91204
31203,70,59,203,3668,4388,1823,1482,3130,2912,17403
31301,394,337,1143,4870,7009,4129,3394,6379,2839,28623
31302,329,506,1158,10841,13128,6144,5501,11647,5055,52306
31303,122,38,212,1705,2519,1351,1267,1927,2150,10926
31304,274,284,829,10806,13607,6077,5059,9574,3885,49003
31305,858,522,1941,10662,13131,5860,4504,10936,4559,49651
31401,294,143,765,16691,21169,9658,6772,9604,3208,67098
31402,472,182,906,12935,15601,6243,5092,10318,3561,53757
31403,157,184,499,6932,8397,3560,2820,5736,2066,29509
31501,78,27,166,5536,5233,2388,2152,4812,4009,24134
31502,71,32,158,4797,5509,2232,1936,4948,3225,22650
31503,161,81,343,2733,3535,1579,1439,3325,1641,14253
31601,677,257,1508,10253,12751,5796,4046,7947,2992,43785
31602,1254,449,2618,14198,18277,8797,6468,13442,4891,66079
31603,676,393,1496,11180,13574,5493,3756,9432,4624,48062
31605,504,323,1266,7098,9625,4711,3190,6319,3049,33986
31606,416,125,918,7961,11573,6112,5089,6695,3223,40653
31607,449,205,995,7036,9602,4792,3826,6298,2736,34293
31608,112,40,291,3392,5102,2761,2311,2812,1460,17842
31701,1291,939,3431,25462,32567,15197,12268,22849,10895,119233
31801,455,228,1087,6712,7926,4194,4105,7259,3966,34163
31802,1131,366,2305,33145,41485,17243,13535,28951,14742,149093
31901,1069,485,2264,12669,17938,9501,8780,16007,7299,72178
31902,540,226,1100,6538,9273,5196,5273,8589,4929,39803
31903,364,300,1038,7113,9959,5689,5424,7731,4518,40444
31904,747,328,1553,7979,11561,6438,5496,10863,4757,47094
31905,458,218,1002,5871,8759,5009,4935,8071,4778,37422
39797,0,3,4,23,24,19,6,50,23,144
39999,25,11,44,2026,1961,823,592,3533,2759,11693
40101,191,53,379,5562,4888,1368,658,5791,2583,20850
40102,604,171,1282,12716,18079,8752,6294,8264,3855,57955
40103,667,238,1666,8961,10598,5199,3114,6588,1948,36413
40104,886,182,1686,9652,11578,5414,3837,9596,2180,42269
40105,633,151,1314,7622,8920,3594,2107,6231,1836,30307
40106,387,85,787,5849,6944,2852,1686,4671,1472,23476
40107,972,179,1637,8021,9569,3929,2207,6168,1839,31733
40201,316,142,749,5781,7841,3721,2865,5679,2161,28045
40202,736,277,1414,13685,17014,7788,6778,17932,6308,69496
40203,808,232,1620,12153,14428,6017,4651,14064,4633,55944
40204,1178,292,2089,22995,27829,12394,9771,29326,7338,109646
40205,1053,323,2044,17570,22385,10455,7042,15807,3934,77192
40301,800,248,1635,7085,8599,3528,2073,5746,2186,29217
40302,1394,355,2811,17852,21820,9124,6125,16045,4490,75460
40303,992,332,2210,12461,16142,7537,4552,8879,2797,52364
40304,1644,663,3479,30126,39785,18270,13247,25918,9254,136595
40401,1822,471,3567,20798,24908,10624,7388,21810,6215,91738
40402,801,269,1584,10374,12632,5312,3789,13035,3728,48861
40403,857,498,2214,12635,14365,5673,3809,12143,3584,52206
40501,382,127,798,5865,8206,4329,3408,4713,2222,28742
40502,336,111,671,3420,4735,2672,2390,3582,1722,18521
40503,424,132,826,3730,5426,3055,2933,5282,2148,22581
40504,409,206,909,3566,5330,3144,2773,4536,2131,21485
40601,557,281,1314,8538,11760,5985,5106,9311,4906,45608
40602,143,73,338,3576,5107,2400,1997,4654,3404,21128
40701,823,370,1874,7414,11735,6795,5284,7775,3946,42948
40702,701,412,1671,10485,13929,7052,5638,10311,5087,52496
40703,836,358,1892,10715,14640,7674,6340,12189,6176,57726
49797,0,0,0,4,0,0,0,3,0,3
49999,17,0,22,466,435,143,126,850,627,2648
50101,375,270,1079,7962,11222,5776,4724,6640,3978,40312
50102,797,328,1792,15901,21336,10676,9838,15718,8101,81572
50103,156,101,451,3227,4857,2747,2562,3116,2166,18684
50201,1097,473,2416,14585,19912,10010,9416,18028,7226,79180
50301,726,304,1948,14794,14818,7007,4899,9835,3942,55294
50302,977,365,2007,24558,23498,7823,5090,17288,9759,88022
50401,708,466,1809,16166,18214,7171,5424,14884,5547,67399
50402,243,150,683,6848,9203,4482,3812,5879,4428,34645
50403,490,331,1283,22615,25989,11010,9584,22616,8698,100512
50501,1133,373,2401,30609,36106,16368,11858,23615,6621,125175
50502,1714,996,4532,39341,42172,16887,12959,35229,13016,159600
50503,898,447,1895,33218,38077,16081,13364,33023,11014,144780
50601,341,250,917,13030,16389,7264,6662,13546,4989,61871
50602,535,281,1279,14347,15083,5302,4128,14168,6926,59958
50603,1058,409,2209,18253,19308,8267,6744,19660,5239,77471
50604,588,353,1431,20024,22823,10003,8885,23993,7680,93412
50605,335,211,922,10114,12710,5938,5082,8987,3443,46275
50606,92,36,189,4400,5559,2371,2404,3920,1825,20475
50607,444,295,1136,9587,9842,3780,2586,7088,3050,35933
50701,591,366,1413,19098,21923,9136,7266,17645,6429,81504
50702,338,248,901,7763,8793,3594,2346,5338,3286,31121
50703,148,72,324,6253,7529,3137,2937,6652,3728,30236
50704,1197,698,3244,20427,23229,10773,7946,15783,5317,83478
50705,715,404,1712,20076,25333,11504,10353,20911,9027,97197
50901,576,336,1467,9273,12551,6438,5684,8622,5493,48062
50902,376,197,964,7917,11031,5791,6048,9084,5938,45809
50903,153,89,412,3078,3969,2081,2086,2935,2103,16241
51001,62,27,117,6157,6249,2406,1764,5088,4324,25984
51002,14,11,40,3811,4448,1420,1214,5138,3995,20024
51003,16,3,22,5075,5755,2093,2035,7662,4858,27474
51101,131,51,276,2496,3029,1548,1380,2407,1872,12732
51102,28,27,92,1403,1891,869,654,1494,1227,7545
51103,90,46,178,6311,7347,2917,2649,6768,4425,30412
51104,356,196,866,8017,10711,5260,4964,8875,5537,43355
59797,3,0,3,32,31,10,9,274,81,434
59999,7,6,23,962,791,327,210,1663,1594,5559
60101,78,27,143,2289,3359,1616,1336,3299,1192,13092
60102,664,221,1468,9084,12604,5955,3923,8231,3324,43120
60103,523,272,1292,8629,11255,4975,3974,10596,4002,43428
60104,332,64,679,5869,8097,3885,2598,4205,1525,26181
60105,644,206,1402,11174,13145,5167,2818,7820,3183,43315
60106,116,48,286,2571,3711,1807,1437,2509,1085,13123
60201,1108,384,2189,13874,17889,8090,6171,14615,5868,66510
60202,195,80,456,3326,4735,2733,2365,3682,1821,18665
60203,326,154,728,5143,7437,4356,3908,6597,3411,30849
60301,49,23,125,1596,2235,1253,1107,2014,984,9191
60302,137,55,298,2728,4332,2454,2035,2748,1519,15817
60303,53,52,172,864,1452,887,747,1162,782,5887
60401,564,223,1207,7093,10066,5262,4558,8791,3439,39213
60402,491,209,1083,6734,9293,4906,4229,8087,3257,36508
60403,108,53,233,2461,3487,1941,1773,2836,1457,13955
69797,0,0,0,7,6,3,10,36,8,73
69999,0,0,3,153,152,50,40,256,178,835
70101,87,27,166,6027,5691,1629,1017,4736,3170,22269
70102,155,47,309,9498,11443,4224,2996,9310,5208,42671
70103,19,15,63,3268,4676,1963,1483,3414,4549,19349
70104,41,14,85,5865,7235,2517,1911,4808,2686,25016
70201,96,28,195,6082,7582,2994,1507,5174,5016,28350
70202,9,5,17,1093,921,307,178,1048,616,4156
70203,13,5,36,2515,3079,1354,825,2332,1900,11998
70204,0,0,8,2674,2208,820,642,1647,1306,9295
70205,27,20,56,3569,2888,1155,743,2692,2872,13906
79797,0,0,0,0,0,0,4,43,23,72
79999,0,0,0,334,366,137,92,522,839,2281
80101,540,293,1398,19163,24442,10029,5833,13575,4958,78013
80103,4,5,17,195,273,86,53,205,639,1455
80104,75,32,210,14060,17047,6248,4033,9646,2933,53975
80105,350,206,1058,13401,14489,4405,2120,8073,3917,46406
80106,288,244,881,6372,7488,2578,1372,3152,2102,23075
80107,311,232,923,16901,21883,8990,5281,11463,3950,68469
80108,176,183,586,4228,6060,2731,1501,2543,1296,18358
80109,449,147,1076,6897,8986,3904,2140,4701,1978,28604
80110,6,0,3,1036,1238,360,228,435,314,3601
80111,0,0,3,105,161,66,30,52,56,464
89797,0,0,0,0,0,0,0,0,0,0
89999,3,0,3,133,94,23,10,138,118,506
90101,3,0,3,242,299,94,86,311,500,1526
90102,0,0,0,70,72,35,30,156,62,430
90103,0,0,0,55,59,21,22,76,85,312
90104,16,9,45,260,456,218,158,224,130,1450
99797,0,0,0,0,0,0,0,3,0,6
99999,0,0,0,5,11,0,3,22,4,46