SA2_NAME16	medianTotalHouseholdIncome
Lockyer Valley - West	72956
Middle Ridge	102128
Newtown (Qld)	53508
North Toowoomba - Harlaxton	55380
Rangeville	74828
Toowoomba - Central	57876
Toowoomba - East	81172
Toowoomba - West	88608
Wilsonton	52936
Ayr	58708
Burdekin	63752
Charters Towers	54080
Dalrymple	55380
Ingham	49400
Ingham Region	57720
Palm Island	58188
Aitkenvale	60944
Annandale	103012
Belgian Gardens - Pallarenda	70096
Bohle Plains	99736
Condon - Rasmussen	62556
Cranbrook	64688
Deeragun	90688
Douglas	93600
Garbutt - West End	53092
Gulliver - Currajong - Vincent	60736
Heatley	56108
Hermit Park - Rosslea	57304
Hyde Park - Pimlico	54756
Kelso	70980
Kirwan - East	61724
Kirwan - West	87880
Magnetic Island	44252
Mount Louisa	89596
Mundingburra	60164
Northern Beaches	65104
Oonoonba	92872
South Townsville - Railway Estate	64376
Townsville - South	74204
Townsville City - North Ward	81900
Wulguru - Roseneath	63388
Ashfield - Kepnock	53404
Bargara - Burnett Heads	57252
Branyan - Kensington	67236
Bundaberg	40664
Bundaberg East - Kalkie	57148
Bundaberg North - Gooburrum	47424
Bundaberg Region - North	53768
Bundaberg Region - South	47008
Millbank - Avoca	50232
Svensson Heights - Norville	47424
Walkervale - Avenell Heights	49868
Gayndah - Mundubbera	48724
Gin Gin	40352
Kingaroy	57148
Kingaroy Region - North	43992
Kingaroy Region - South	61828
Monto - Eidsvold	45552
Nanango	40820
North Burnett	72748
Cooloola	38532
Gympie - North	47684
Gympie - South	55172
Gympie Region	55484
Kilkivan	44616
Booral - River Heads	56108
Craignish - Dundowran Beach	65936
Pialba - Eli Waters	46592
Point Vernon	48048
Torquay - Scarness - Kawungan	43368
Urangan - Wondunna	48360
Burrum - Fraser	43420
Granville	46020
Maryborough (Qld)	44824
Maryborough Region - South	42224
Tinana	60164
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide	56836
North Adelaide	88036
Adelaide Hills	82628
Aldgate - Stirling	98696
Hahndorf - Echunga	83044
Lobethal - Woodside	72436
Mount Barker	71396
Mount Barker Region	77532
Nairne	75192
Uraidla - Summertown	94276
Burnside - Wattle Park	89388
Glenside - Beaumont	104260
Toorak Gardens	82264
Athelstone	84968
Paradise - Newton	59748
Rostrevor - Magill	64168
Norwood (SA)	69784
Payneham - Felixstow	59228
St Peters - Marden	77168
Nailsworth - Broadview	79872
Prospect	82836
Walkerville	88556
Goodwood - Millswood	85488
Unley - Parkside	84708
Gawler - North	78728
Gawler - South	57408
Lewiston - Two Wells	76492
Craigmore - Blakeview	71656
Davoren Park	49088
Elizabeth	37232
Elizabeth East	51168
Munno Para West - Angle Vale	70564
One Tree Hill	100412
Smithfield - Elizabeth North	40092
Virginia - Waterloo Corner	49348
Enfield - Blair Athol	54288
Northgate - Oakden - Gilles Plains	67392
Windsor Gardens	63024
Dry Creek - North	
Ingle Farm	57096
Para Hills	63336
Parafield	
Parafield Gardens	59280
Paralowie	63596
Salisbury	46748
Salisbury East	60164
Salisbury North	55692
Mawson Lakes - Globe Derby Park	85852
Pooraka - Cavan	55016
Golden Grove	79196
Greenwith	84344
Highbury - Dernancourt	83616
Hope Valley - Modbury	56212
Modbury Heights	74464
Redwood Park	78260
St Agnes - Ridgehaven	65780
Brighton (SA)	71812
Glenelg (SA)	70148
Edwardstown	58864
Hallett Cove	84344
Marino - Seaview Downs	76752
Mitchell Park	54444
Morphettville	60892
Sheidow Park - Trott Park	85696
Warradale	58916
Belair	98436
Bellevue Heights	71864
Blackwood	92352
Colonel Light Gardens	83200
Mitcham (SA)	92092
Panorama	62972
Aberfoyle Park	79352
Aldinga	56680
Christie Downs	43732
Christies Beach	50336
Clarendon	92612
Coromandel Valley	102180
Flagstaff Hill	90168
Hackham - Onkaparinga Hills	61568
Hackham West - Huntfield Heights	46384
Happy Valley	71344
Happy Valley Reservoir	
Lonsdale	24232
McLaren Vale	68640
Morphett Vale - East	54444
Morphett Vale - West	50024
Reynella	60424
Seaford (SA)	64064
Willunga	73528
Woodcroft	74464
Beverley	65936
Flinders Park	61932
Henley Beach	73736
Hindmarsh - Brompton	65104
Royal Park - Hendon - Albert Park	56992
Seaton - Grange	60164
West Lakes	67496
Woodville - Cheltenham	60164
Dry Creek - South	
Largs Bay - Semaphore	67704
North Haven	60684
Port Adelaide	50700
The Parks	49296
Torrens Island	
Adelaide Airport	
Fulham	65936
Lockleys	65520
Plympton	61620
Richmond (SA)	63336
West Beach	73944
Barossa - Angaston	64688
Light	68328
Lyndoch	76960
Mallala	59540
Nuriootpa	59696
Tanunda	64064
Clare	61932
Gilbert Valley	56316
Goyder	46384
Wakefield - Barunga West	51532
Jamestown	54600
Peterborough - Mount Remarkable	42952
Port Pirie	45500
Port Pirie Region	52520
Kadina	49920
Moonta	44564
Wallaroo	42224
Yorke Peninsula - North	45812
Yorke Peninsula - South	41184
Ceduna	66664
Eyre Peninsula	55900
Kimba - Cleve - Franklin Harbour	57460
Le Hunte - Elliston	54600
Port Lincoln	58500
West Coast (SA)	57044
Western	175448
Whyalla	51428
Whyalla - North	
APY Lands	59800
Coober Pedy	43888
Quorn - Lake Gilles	47840
Outback	52104
Port Augusta	57252
Roxby Downs	128804
Goolwa - Port Elliot	43420
Kangaroo Island	49244
Strathalbyn	58916
Strathalbyn Region	63752
Victor Harbor	43264
Yankalilla	48828
Grant	68224
Kingston - Robe	52260
Millicent	47476
Naracoorte	60684
Naracoorte Region	66716
Penola	58084
Tatiara	60580
Wattle Range	60788
Mount Gambier - East	60476
Mount Gambier - West	52572
Barmera	54080
Berri	46436
Karoonda - Lameroo	54132
Loxton	53300
Loxton Region	56732
Mannum	43732
Murray Bridge	48568
Murray Bridge Region	63596
Renmark	45916
Renmark Region	61516
The Coorong	48412
Waikerie	46384
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta	61308
Busselton	62608
Busselton Region	82940
Margaret River	70928
Australind - Leschenault	87828
Capel	72072
College Grove - Carey Park	55744
Collie	60372
Dardanup	84916
Davenport	136500
Eaton - Pelican Point	80860
Harvey	65676
East Bunbury - Glen Iris	63440
Waroona	63336
Dalyellup	96668
Gelorup - Stratham	104988
South Bunbury - Bunbury	69368
Withers - Usher	50232
Bridgetown - Boyup Brook	54288
Donnybrook - Balingup	60060
Manjimup	60268
Pemberton	53716
Dawesville - Bouvard	66716
Falcon - Wannanup	62764
Greenfields	49296
Halls Head - Erskine	66196
Mandurah	44200
Mandurah - East	61048
Mandurah - North	83772
Mandurah - South	51428
Pinjarra	62608
City Beach	152100
Claremont (WA)	100620
Cottesloe	139360
Floreat	159744
Mosman Park - Peppermint Grove	103220
Nedlands - Dalkeith - Crawley	119912
Swanbourne - Mount Claremont	130052
Kings Park (WA)	190632
Mount Hawthorn - Leederville	119548
Mount Lawley - Inglewood	97084
North Perth	108004
Perth City	94536
Subiaco - Shenton Park	104676
Wembley - West Leederville - Glendalough	89076
Bassendean - Eden Hill - Ashfield	78416
Bayswater - Embleton - Bedford	88036
Maylands	75348
Morley	72020
Noranda	80184
Chidlow	84552
Glen Forrest - Darlington	99788
Helena Valley - Koongamia	89076
Malmalling - Reservoir	46748
Mundaring	91156
Swan View - Greenmount - Midvale	68120
Avon Valley National Park	
Ballajura	82576
Beechboro	81276
Bullsbrook	89128
Ellenbrook	94952
Gidgegannup	106704
Hazelmere - Guildford	87048
Lockridge - Kiara	80964
Malaga	
Melaleuca - Lexia	
Middle Swan - Herne Hill	69212
Midland - Guildford	62764
Stratton - Jane Brook	83148
The Vines	106444
Walyunga National Park	
Craigie - Beldon	82524
Currambine - Kinross	105872
Duncraig	111384
Greenwood - Warwick	86424
Heathridge - Connolly	90376
Hillarys	118716
Iluka - Burns Beach	150176
Joondalup - Edgewater	86320
Kingsley	96356
Mullaloo - Kallaroo	104884
Ocean Reef	116740
Padbury	91832
Sorrento - Marmion	116896
Woodvale	112996
Balcatta - Hamersley	73112
Balga - Mirrabooka	58864
Dianella	76232
Herdsman	
Innaloo - Doubleview	94432
Karrinyup - Gwelup - Carine	113880
Nollamara - Westminster	69524
Osborne Park Industrial	
Scarborough	97136
Stirling - Osborne Park	84240
Trigg - North Beach - Watermans Bay	101972
Tuart Hill - Joondanna	73268
Wembley Downs - Churchlands - Woodlands	105456
Yokine - Coolbinia - Menora	77116
Alexander Heights - Koondoola	71760
Butler - Merriwa - Ridgewood	74620
Carramar	98904
Clarkson	83928
Girrawheen	57408
Madeley - Darch - Landsdale	109616
Marangaroo	73788
Mindarie - Quinns Rocks - Jindalee	106964
Neerabup National Park	
Tapping - Ashby - Sinagra	101504
Wanneroo	89232
Alkimos - Eglinton	101504
Carabooda - Pinjar	91676
Two Rocks	66352
Yanchep	78572
Armadale - Wungong - Brookdale	56316
Ashendon - Lesley	
Camillo - Champion Lakes	66456
Forrestdale - Harrisdale - Piara Waters	113152
Kelmscott	65676
Mount Nasura - Mount Richon - Bedfordale	87776
Roleystone	98176
Seville Grove	78416
Belmont - Ascot - Redcliffe	78572
East Victoria Park - Carlisle	84032
Kewdale Commercial	
Perth Airport	
Rivervale - Kewdale - Cloverdale	72436
Victoria Park - Lathlain - Burswood	87308
Bentley - Wilson - St James	60060
Canning Vale - West	112788
Canning Vale Commercial	
Cannington - Queens Park	73580
Parkwood - Ferndale - Lynwood	73944
Riverton - Shelley - Rossmoyne	88036
Welshpool	
Willetton	94536
Beckenham - Kenwick - Langford	67548
Canning Vale - East	107796
Gosnells	60840
Huntingdale - Southern River	98852
Maddington - Orange Grove - Martin	63752
Thornlie	75348
Forrestfield - Wattle Grove	85852
High Wycombe	82420
Kalamunda - Maida Vale - Gooseberry Hill	87308
Lesmurdie - Bickley - Carmel	91832
Byford	96720
Mundijong	103844
Serpentine - Jarrahdale	84032
Como	84084
Manning - Waterford	91208
South Perth - Kensington	101504
Banjup	115024
Bibra Industrial	
Bibra Lake	
Coogee	98956
Coolbellup	71188
Hamilton Hill	60632
Henderson	33748
North Coogee	129220
South Lake - Cockburn Central	79248
Spearwood	68744
Success - Hammond Park	107016
Yangebup	90480
Beeliar - Wattleup	103636
Jandakot	112216
East Fremantle	106652
Fremantle	87308
Fremantle - South	77740
O'Connor (WA)	62348
Bertram - Wellard (West)	94900
Calista	56212
Hope Valley - Postans	100724
Kwinana Industrial	58500
Parmelia - Orelia	59644
Casuarina - Wandi	107900
Applecross - Ardross	110292
Bateman	107692
Bicton - Palmyra	85124
Booragoon	97916
Bull Creek	84552
Leeming	112008
Melville	101504
Murdoch - Kardinya	82992
Willagee	69576
Winthrop	114192
Baldivis	99944
Cooloongup	60112
Port Kennedy	89336
Rockingham	54028
Rockingham Lakes	
Safety Bay - Shoalwater	62712
Singleton - Golden Bay - Secret Harbour	106964
Waikiki	78728
Warnbro	71656
Albany	57564
Albany Region	68848
Bayonet Head - Lower King	71344
Denmark	52676
Gnowangerup	68068
Katanning	62764
Kojonup	63492
Little Grove - Elleker	71968
McKail - Willyung	63284
Plantagenet	53820
Stirling Range National Park	
Chittering	85280
Cunderdin	56836
Dowerin	58396
Gingin - Dandaragan	59852
Merredin	65312
Moora	71188
Mukinbudin	62504
Northam	61256
Toodyay	60684
York - Beverley	52624
Brookton	59072
Kulin	64116
Murray	88036
Narrogin	63128
Wagin	59228
Broome	100828
Derby - West Kimberley	65988
Halls Creek	52988
Kununurra	88556
Roebuck	46124
East Pilbara	63180
Newman	136344
Port Hedland	164164
South Hedland	125788
Ashburton (WA)	127712
Karratha	137436
Roebourne	133120
Esperance	69316
Esperance Region	71864
Carnarvon	66352
Exmouth	72852
Boulder	92144
Kalgoorlie	109096
Kalgoorlie - North	120432
Kalgoorlie Airport	
Kambalda - Coolgardie - Norseman	82472
Leinster - Leonora	69524
Trafalgar (WA)	
Geraldton	54860
Geraldton - East	69680
Geraldton - North	83668
Geraldton - South	92508
Irwin	56420
Meekatharra	60996
Morawa	58864
Northampton - Mullewa - Greenough	56888
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Bridgewater - Gagebrook	40716
Brighton - Pontville	69056
Old Beach - Otago	82784
Bellerive - Rosny	62504
Cambridge	92768
Geilston Bay - Risdon	73164
Howrah - Tranmere	76232
Lindisfarne - Rose Bay	69264
Mornington - Warrane	50856
Risdon Vale	48412
Rokeby	50128
South Arm	84084
Austins Ferry - Granton	75816
Berriedale - Chigwell	53872
Claremont (Tas.)	51740
Derwent Park - Lutana	53404
Glenorchy	45344
Montrose - Rosetta	59488
Moonah	52520
New Norfolk	49192
West Moonah	56316
Kingston - Huntingfield	64844
Kingston Beach - Blackmans Bay	75816
Margate - Snug	76752
Mount Wellington	
Taroona - Bonnet Hill	87256
Hobart	71968
Lenah Valley - Mount Stuart	80652
Mount Nelson - Dynnyrne	77792
New Town	62296
Sandy Bay	75868
South Hobart - Fern Tree	74516
West Hobart	79716
Dodges Ferry - Lewisham	56524
Sorell - Richmond	63076
Invermay	40716
Kings Meadows - Punchbowl	53144
Launceston	62556
Legana	67496
Mowbray	40716
Newnham - Mayfield	46800
Newstead	57876
Norwood (Tas.)	64584
Prospect Vale - Blackstone	60476
Ravenswood	38116
Riverside	66404
South Launceston	54704
Summerhill - Prospect	54288
Trevallyn	70616
Waverley - St Leonards	52624
West Launceston	67964
Youngtown - Relbia	64324
Beauty Point - Beaconsfield	42068
Deloraine	45604
Grindelwald - Lanena	58032
Hadspen - Carrick	65624
Westbury	49608
Dilston - Lilydale	64896
George Town	44564
Longford	52780
Northern Midlands	45916
Perth - Evandale	62868
St Helens - Scamander	38792
Flinders and Cape Barren Islands	53092
Scottsdale - Bridport	42744
Central Highlands	42484
Derwent Valley	56056
Southern Midlands	54496
Wilderness - East	129948
Bruny Island - Kettering	55276
Cygnet	47008
Geeveston - Dover	43316
Huonville - Franklin	59228
Forestier - Tasman	40976
Triabunna - Bicheno	44304
Acton - Upper Burnie	41600
Burnie - Ulverstone Region	61152
Burnie - Wivenhoe	46748
Parklands - Camdale	54288
Penguin - Sulphur Creek	56524
Romaine - Havenview	57512
Somerset	47944
Ulverstone	46644
West Ulverstone	46956
Wynyard	46176
Devonport	45968
East Devonport	41808
Latrobe	51636
Miandetta - Don	66716
Port Sorell	58500
Quoiba - Spreyton	67236
Sheffield - Railton	51792
Turners Beach - Forth	64636
King Island	62348
North West	57564
Smithton	54912
Waratah	56264
West Coast (Tas.)	47320
Wilderness - West	
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin Airport	
Darwin City	117728
East Point	142948
Fannie Bay - The Gardens	119028
Larrakeyah	126620
Ludmilla - The Narrows	97500
Parap	124540
Stuart Park	117520
Woolner - Bayview - Winnellie	141596
Alawa	100724
Anula	115128
Berrimah	92924
Brinkin - Nakara	116220
Buffalo Creek	
Charles Darwin	
Coconut Grove	85176
East Arm	
Jingili	118664
Karama	93392
Leanyer	113516
Lyons (NT)	143676
Malak - Marrara	95940
Millner	91676
Moil	111332
Nightcliff	103376
Rapid Creek	102960
Tiwi	104624
Wagaman	101660
Wanguri	119860
Wulagi	118612
Howard Springs	116168
Humpty Doo	124592
Koolpinyah	
Virginia	110344
Weddell	100516
Bakewell	105508
Driver	107744
Durack - Marlow Lagoon	135460
Gray	78988
Moulden	74464
Palmerston - North	131092
Palmerston - South	128544
Rosebery - Bellamack	127608
Woodroffe	98748
Charles	95264
East Side	97760
Flynn (NT)	102388
Larapinta	106080
Mount Johns	108160
Petermann - Simpson	62764
Ross	87620
Sandover - Plenty	53404
Tanami	56316
Yuendumu - Anmatjere	64012
Barkly	59800
Tennant Creek	81640
Alligator	66872
Daly	57772
Thamarrurr	52416
Tiwi Islands	40560
West Arnhem	66664
Anindilyakwa	131404
East Arnhem	70408
Nhulunbuy	123032
Elsey	53352
Gulf	55848
Katherine	94380
Victoria River	56836
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Aranda	125528
Belconnen	82524
Bruce	100048
Charnwood	77272
Cook	101608
Dunlop	117104
Evatt	107068
Florey	90740
Flynn (ACT)	118092
Fraser	117832
Giralang	105404
Gooromon	
Hawker	105456
Higgins	90324
Holt	74204
Kaleen	108004
Latham	96668
Lawson	126724
Macgregor (ACT)	107276
Macquarie	89284
McKellar	116844
Melba	101504
Page	78728
Scullin	84864
Spence	103012
Weetangera	140348
Molonglo Corridor	
West Belconnen	
Hume	
Kowen	195000
Canberra East	42224
Canberra Airport	105300
Majura	136500
Amaroo	127712
Bonner	120952
Casey	119704
Crace	129272
Forde	153088
Franklin	109928
Gungahlin	107432
Hall	106860
Harrison	118040
Mitchell	
Ngunnawal	100880
Nicholls	139568
Palmerston	104260
Gungahlin - East	
Gungahlin - West	
Jacka	97084
Kenny	
Moncrieff	110448
Taylor	
Throsby	
Acton	
Ainslie	105404
Braddon	102388
Civic	115544
Dickson	90220
Downer	97136
Hackett	110968
Lyneham	88816
O'Connor (ACT)	110708
Turner	100048
Watson	102024
Black Mountain	
Campbell	123188
Duntroon	130832
Parkes (ACT) - North	
Reid	78156
Russell	
Deakin	134264
Forrest	163540
Griffith (ACT)	112060
Lake Burley Griffin	
Narrabundah	106340
Parkes (ACT) - South	
Red Hill (ACT)	147784
Yarralumla	134108
Barton	122512
Fyshwick	116948
Kingston (ACT)	121056
Banks	111696
Bonython	102284
Calwell	115700
Chisholm	105456
Conder	115752
Fadden	143364
Gilmore	112372
Gordon (ACT)	103480
Gowrie (ACT)	115856
Greenway	87672
Isabella Plains	95732
Kambah	99632
Macarthur	139360
Monash	102856
Mount Taylor	
Oxley (ACT)	109512
Richardson	95680
Theodore	110396
Tuggeranong	116948
Wanniassa	101972
Tuggeranong - West	
Chapman	140244
Duffy	110500
Fisher	100308
Holder	106028
Rivett	93964
Stirling	102076
Waramanga	97500
Weston	108992
Scrivener	
Chifley	95836
Curtin	117260
Farrer	117780
Garran	119444
Hughes	118248
Isaacs	116064
Lyons (ACT)	77376
Mawson	92404
O'Malley	182676
Pearce	105560
Phillip	92144
Torrens	115284
Arboretum	
Coombs	120380
Denman Prospect	
Molonglo	
Molonglo - North	
Wright	120796
ACT - South West	143884
Namadgi	100724
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	111332
Cocos (Keeling) Islands	96668
Jervis Bay	80184
Norfolk Island	52624
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
